epoch,split,loss,accuracy,f1,precision,recall,map,lr
0,train,0.300445,0.853616,0.132777,0.149872,0.131395,,0.00100000
0,val,0.240761,0.882693,0.349106,0.393747,0.334918,0.552774,
1,train,0.223868,0.891132,0.413009,0.457288,0.399735,,0.00100000
1,val,0.199570,0.905929,0.508745,0.564850,0.488910,0.675473,
2,train,0.195803,0.907345,0.543976,0.596729,0.528042,,0.00100000
2,val,0.177660,0.920340,0.639966,0.701028,0.620441,0.713247,
3,train,0.180670,0.916386,0.609128,0.662996,0.594343,,0.00100000
3,val,0.166556,0.924189,0.670737,0.731658,0.653394,0.737838,
4,train,0.170222,0.921374,0.645177,0.702152,0.628295,,0.00100000
4,val,0.157445,0.933155,0.718008,0.772426,0.705992,0.753450,
5,train,0.101719,0.957165,0.839823,0.877963,0.833378,,0.00100000
5,val,0.074776,0.971319,0.899195,0.927616,0.896881,0.916621,
6,train,0.062002,0.973820,0.907913,0.932504,0.905685,,0.00092929
6,val,0.059367,0.973713,0.908120,0.934657,0.905013,0.942889,
7,train,0.049270,0.979131,0.925471,0.944166,0.923663,,0.00085857
7,val,0.048942,0.981974,0.933868,0.948176,0.934270,0.962233,
8,train,0.036169,0.984637,0.945554,0.960048,0.944651,,0.00078786
8,val,0.047084,0.980566,0.933862,0.947015,0.936453,0.968339,
9,train,0.030455,0.986965,0.951196,0.961889,0.951647,,0.00071714
9,val,0.049475,0.979440,0.926351,0.938037,0.930362,0.961988,
10,train,0.025495,0.989115,0.957972,0.967606,0.957445,,0.00064643
10,val,0.043027,0.982585,0.936200,0.947367,0.937438,0.974687,
11,train,0.021514,0.991069,0.966618,0.974234,0.966603,,0.00057571
11,val,0.041508,0.986293,0.947494,0.958421,0.947155,0.970613,
12,train,0.018460,0.991851,0.967998,0.974349,0.968041,,0.00050500
12,val,0.037714,0.987138,0.955085,0.965181,0.956907,0.974776,
13,train,0.014276,0.993525,0.973013,0.977771,0.972998,,0.00043429
13,val,0.036437,0.986199,0.946123,0.955929,0.945994,0.978242,
14,train,0.012980,0.994307,0.975641,0.979339,0.976069,,0.00036357
14,val,0.034687,0.987654,0.953671,0.965568,0.951556,0.979303,
15,train,0.011181,0.994910,0.978336,0.981771,0.978431,,0.00029286
15,val,0.034698,0.987936,0.953164,0.960815,0.954513,0.981659,
16,train,0.008805,0.995743,0.981234,0.983417,0.981818,,0.00022214
16,val,0.035832,0.988312,0.956920,0.967012,0.955886,0.981258,
17,train,0.008067,0.996278,0.982760,0.984698,0.983319,,0.00015143
17,val,0.033366,0.988077,0.956230,0.967047,0.954232,0.980854,
18,train,0.006384,0.996839,0.984776,0.986974,0.984539,,0.00008071
18,val,0.032420,0.989016,0.959750,0.968526,0.959442,0.983860,
19,train,0.005300,0.997366,0.987081,0.988350,0.987388,,0.00001000
19,val,0.031857,0.988828,0.959243,0.968244,0.958668,0.983998,
19,test,0.269031,0.940898,0.800309,0.824839,0.820376,0.681235,
